ksh_code,line_code,osm_id,osm_name,distance_m
17154,29,,Balatonszepezd,5.1
17172,25,,Dabronc,6.0
17206,100,,Nyíregyháza,1.6
17206,100c,,Nyíregyháza,7.1
17303,120a,,Tápiógyörgye,3.5
17312,40,,Százhalombatta,35.4
17312,40E,,Százhalombatta,25.1
17330,13,,Kisbér,3.1
17330,5,,Kisbér,7.8
17419,62,,Drávafok,2.0
17525,29,,Polgárdi,18.9
17534,85,,Gyöngyöshalász,3.2
17543,23,,Bocfölde,6.3
17552,42,,Mezőfalva,9.9
17631,30,,Siófok,21.5
17631,35,,Siófok,8.8
17668,71,,Vácrátót,4.5
17677,142,,Lajosmizse,0.8
17686,152,,Ágasegyháza,0.0
17756,100,,Demecser,1.3
17826,111,,Mándok,3.4
17826,400,,Mándok,44.6
17871,26,,Lesencetomaj,1.4
17905,1,,Hegyeshalom,4.9
17923,149,,Jakabszállás,11.5
17932,98,,Fony,1.5
17941,38,,Nagyatád,12.5
17978,86,,Jászdózsa,2.2
17987,87,,Andornaktálya,5.2
18096,30,,Zalaszentjakab,6.0
18102,125,,Battonya,2.2
18157,1,,Tatabánya,3.5
18157,12,,Tatabánya,108.1
18193,26,,Gógánfa,8.5
18209,82,,Jászberény,17.1
18218,150,,Soltszentimre,2.2
18227,41,,Kaposmérő,4.6
18236,60,,Nemeske,2.2
18245,80,,Taktaharkány,2.2
18254,5,,Bodajk,4.6
18263,40,,Szárazd,3.4
18281,102,,Kisköre,2.4
18306,100c,,Tokaj,5.6
18324,111,,Vásárosnamény,3.0
18324,116,,Vásárosnamény,7.6
18342,71,,Veresegyház,1.4
18388,46,,Nagydorog,6.6
18421,26,,Keszthely,0.6
18485,5,,Mór,12.2
18485,5b,,Mór,7.1
18500,37,,Marcali,0.0
18546,37,,Somogyszob,3.7
18546,38,,Somogyszob,16.1
18546,41,,Somogyszob,8.7
18616,70,,Dunakeszi,2.6
18616,70AX,,Dunakeszi,7.5
18643,98,,Göncruszka,1.8
18786,78,,Szügy,3.0
18801,94,,Tornanádaska,1.8
18874,110,,Mátészalka,4.0
18874,111,,Mátészalka,193.7
18874,115,,Mátészalka,218.5
18962,40,,Kaposszekcső,3.6
19044,81,,Szurdokpüspöki,5.6
19187,30,,Fityeház,3.4
19202,40,,Dúzs,3.6
19239,1,,Levél,0.4
19257,128,,Okány,13.7
19275,94,,Ziliz,0.7
19284,50,,Cikó,2.2
19415,40,,Pécs,23.5
19415,64,,Pécs,8.0
19415,65,,Pécs,10.3
19433,80,,Mezőkövesd,2.5
19442,36,,Somogyvár,0.7
19503,80,,Galgahévíz,8.7
19549,1,,Szár,1.7
19585,40,,Pincehely,2.1
19628,120,,Mezőberény,4.6
19673,15,,Újkér,7.5
19716,140,,Nagykőrös,0.0
19770,36,,Osztopán,7.6
19789,153,,Kecel,0.0
19813,120,,Kétpó,6.2
19886,71,,Váchartyán,7.7
19901,62,,Csányoszró,0.3
19947,151,,Szalkszentmárton,2.1
19956,101,,Biharkeresztes,11.2
19965,84,,Mátraballa,6.5
19974,147,,Fábiánsebestyén,4.2
19983,150,,Soltvadkert,13.8
19992,100,,Kemecse,2.8
20066,140,,Nyársapát,0.0
20075,84,,Mátramindszent,9.7
20127,1,,Tata,1.1
20172,100,,Tiszabezdéd,5.0
20172,400,,Tiszabezdéd,10.9
20206,44,,Seregélyes,6.2
20297,140,,Kiskunfélegyháza,3.4
20297,146,,Kiskunfélegyháza,6.8
20297,147,,Kiskunfélegyháza,19.9
20297,155,,Kiskunfélegyháza,20.4
20303,116,,Apagy,2.5
20358,42,,Előszállás,4.0
20400,10,,Gyömöre,0.0
20428,146,,Szelevény,5.3
20473,35,,Kaposvár,10.0
20473,36,,Kaposvár,10.3
20473,41,,Kaposvár,3.5
20491,87,,Eger,11.6
20507,40,,Kurd,1.9
20534,150,,Dunavarsány,9.4
20604,8,,Ikrény,0.0
20640,100,,Ceglédbercel,1.7
20659,65,,Márok,1.1
20701,50,,Mórágy,10.3
20729,30,,Balatonfenyves,2.9
20747,84,,Feldebrő,6.8
20783,40,,Simontornya,11.9
20914,125,,Nagyér,2.9
20996,25,,Kemenespálfa,5.2
21050,25,,Pókaszepetk,0.1
21069,151,,Dunaegyháza,0.0
21096,65,,Pécsudvard,2.7
21111,86,,Jászladány,4.3
21148,151,,Apostag,2.9
21175,29,,Balatonfüred,6.6
21209,120,,Lőkösháza,3.1
21306,20,,Sárvár,14.0
21315,41,,Csurgó,6.0
21324,30,,Balatonszentgyörgy,4.3
21351,90,,Szikszó,3.6
21388,78,,Püspökhatvan,9.7
21449,41,,Nagyberki,4.6
21485,111,,Nagydobos,6.0
21494,146,,Tiszasas,6.9
21555,130,,Mindszent,6.4
21713,120a,,Sülysáp,5.5
21740,100c,,Tarcal,7.6
21874,2,,Piliscsév,1.6
21883,128,,Szeghalom,2.5
21908,5,,Csókakő,10.4
21926,30,,Kápolnásnyék,2.5
21953,92,,Bánréve,3.1
21999,152,,Izsák,2.7
22105,86,,Jászárokszállás,1.2
22196,108,,Poroszló,10.1
22202,86,,Jászapáti,2.2
22220,14,,Marcaltő,8.4
22284,116,,Ófehértó,5.6
22309,262e,,Hatvan,29.6
22309,80,,Hatvan,6.3
22309,81,,Hatvan,25.2
22327,29,,Badacsonytomaj,13.0
22406,109,,Hajdúnánás,5.4
22415,100,,Fényeslitke,2.7
22415,284,,Fényeslitke,28.1
22558,90,,Onga,3.1
22567,102,,Kunhegyes,1.4
22600,47,,Magyarszék,3.8
22673,35,,Bonnya,1.5
22691,11,,Veszprémvarsány,4.7
22691,13,,Veszprémvarsány,1.7
22761,46,,Szekszárd,3.8
