osm_id,osm_name,normalized_name,reason,candidate_ksh_code,candidate_line_code
n13877118070,Derecske-Vásártér,Derecske-Vásártér,NO_UNIQUE_KSH_NAME,,
n5217774796,Deák Ferenc tér,Deák Ferenc tér,NO_UNIQUE_KSH_NAME,,
n6974122717,Deák Ferenc tér,Deák Ferenc tér,NO_UNIQUE_KSH_NAME,,
n6974122716,Deák Ferenc tér,Deák Ferenc tér,NO_UNIQUE_KSH_NAME,,
n8880588086,Dinnyés,Dinnyés,NO_UNIQUE_KSH_NAME,,
n1223279888,Diósgyőr,Diósgyőr,NO_UNIQUE_KSH_NAME,,
n415605642,Dombostanya,Dombostanya,NO_UNIQUE_KSH_NAME,,
n336099929,Dombóvár alsó,Dombóvár alsó,NO_UNIQUE_KSH_NAME,,
n338959239,Drégely,Drégely,NO_UNIQUE_KSH_NAME,,
n10223992085,Drégelyvár,Drégelyvár,NO_UNIQUE_KSH_NAME,,
n10224033980,Dunaharaszti alsó,Dunaharaszti alsó,NO_UNIQUE_KSH_NAME,,
n7251592650,Dunaharaszti felső,Dunaharaszti felső,NO_UNIQUE_KSH_NAME,,
n7251616133,Dunaharaszti külső,Dunaharaszti külső,NO_UNIQUE_KSH_NAME,,
n619127277,Dunai Finomító,Dunai Finomító,NO_UNIQUE_KSH_NAME,,
n10981566785,Dunakeszi alsó,Dunakeszi alsó,NO_UNIQUE_KSH_NAME,,
n11517679376,Dunakeszi-Gyártelep,Dunakeszi-Gyártelep,NO_UNIQUE_KSH_NAME,,
n410909773,Dunakömlőd,Dunakömlőd,NO_UNIQUE_KSH_NAME,,
n801053660,Dunaújváros külső,Dunaújváros külső,NO_UNIQUE_KSH_NAME,,
n5217774800,Déli pályaudvar,Déli pályaudvar,NO_UNIQUE_KSH_NAME,,
n6167285150,Dévaványa,Dévaványa,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1065129402,Dónát,Dónát,NO_UNIQUE_KSH_NAME,,
n5217848811,Dózsa György út,Dózsa György út,NO_UNIQUE_KSH_NAME,,
n1085370738,Dömefölde,Dömefölde,NO_UNIQUE_KSH_NAME,,
n13634722901,Dömörkapu,Dömörkapu,NO_UNIQUE_KSH_NAME,,
n5217774769,Ecseri út,Ecseri út,NO_UNIQUE_KSH_NAME,,
n370613707,Edelény alsó,Edelény alsó,NO_UNIQUE_KSH_NAME,,
n9481638129,Eger Téglagyár,Eger Téglagyár,NO_UNIQUE_KSH_NAME,,
n1065130907,Eger-Felnémet,Eger-Felnémet,NO_UNIQUE_KSH_NAME,,
n2507415270,Eger-völgy,Eger-völgy,NO_UNIQUE_KSH_NAME,,
n1879769594,Egeresvölgy-Varróház,Egeresvölgy-Varróház,NO_UNIQUE_KSH_NAME,,
n94074423,Egervár-Vasboldogasszony,Egervár-Vasboldogasszony,NO_UNIQUE_KSH_NAME,,
n2507415341,Egervölgyi repvágány,Egervölgyi repvágány,NO_UNIQUE_KSH_NAME,,
n500911441,Egyed-Rábacsanak,Egyed-Rábacsanak,NO_UNIQUE_KSH_NAME,,
n1060125447,Egyházerdő,Egyházerdő,NO_UNIQUE_KSH_NAME,,
n503340160,Előhát,Előhát,NO_UNIQUE_KSH_NAME,,
n1065129984,Eperjeske alsó,Eperjeske alsó,NO_UNIQUE_KSH_NAME,,
n454633415,Erdei kisvasút,Erdei kisvasút,NO_UNIQUE_KSH_NAME,,
n1326504306,Erdészlak,Erdészlak,NO_UNIQUE_KSH_NAME,,
n9849963685,Erdőszél,Erdőszél,NO_UNIQUE_KSH_NAME,,
n6350592155,Esztergom-Kertváros,Esztergom-Kertváros,NO_UNIQUE_KSH_NAME,,
n8437402362,Eternitgyár,Eternitgyár,NO_UNIQUE_KSH_NAME,,
n1326504307,Fancsika,Fancsika,NO_UNIQUE_KSH_NAME,,
n1476118683,Farkasmály,Farkasmály,NO_UNIQUE_KSH_NAME,,
n3046043051,Fazola-kohó,Fazola-kohó,NO_UNIQUE_KSH_NAME,,
n1104399656,Fegyvernek-Örményes,Fegyvernek-Örményes,NO_UNIQUE_KSH_NAME,,
n1065130406,Fehérgyarmat,Fehérgyarmat,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n10021930171,Fehértó felső,Fehértó felső,NO_UNIQUE_KSH_NAME,,
n2508607843,Feketeberek,Feketeberek,NO_UNIQUE_KSH_NAME,,
n10143234158,Feketevölgy kitérő,Feketevölgy kitérő,NO_UNIQUE_KSH_NAME,,
n10159959223,Felsőgöd,Felsőgöd,NO_UNIQUE_KSH_NAME,,
n1437544217,Felsőkak,Felsőkak,NO_UNIQUE_KSH_NAME,,
n10225137896,Felsőméntelek,Felsőméntelek,NO_UNIQUE_KSH_NAME,,
n94290568,Felsőrajk,Felsőrajk,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1881045099,Felsőtárkány-Fűtőház,Felsőtárkány-Fűtőház,NO_UNIQUE_KSH_NAME,,
n1476118690,Felsőújváros,Felsőújváros,NO_UNIQUE_KSH_NAME,,
n10223587004,Fenyveshegy,Fenyveshegy,NO_UNIQUE_KSH_NAME,,
n5217774774,Ferenciek tere,Ferenciek tere,NO_UNIQUE_KSH_NAME,,
n7016692192,Ferencváros,Ferencváros,NO_UNIQUE_KSH_NAME,,
n8518620737,Ferihegy,Ferihegy,NO_UNIQUE_KSH_NAME,,
n6383904669,Fertőboz-Fűtőház,Fertőboz-Fűtőház,NO_UNIQUE_KSH_NAME,,
