ksh_code,settlement_name,county_name,line_code,line_name,service_area,service_area_id,status,reason
18209,Jászberény,Jász-Nagykun-Szolnok,82,82. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
18324,Vásárosnamény,Szabolcs-Szatmár-Bereg,116,116. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
18546,Somogyszob,Somogy,38,38. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
18874,Mátészalka,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
19415,Pécs,Baranya,64,64. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
19789,Kecel,Bács-Kiskun,153,153. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
19901,Csányoszró,Baranya,62,62. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
19947,Szalkszentmárton,Bács-Kiskun,151,151. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
20127,Tata,Komárom-Esztergom,1,1. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
20206,Seregélyes,Fejér,44,44. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
