line_code,assessment,area_codes
85,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-HEVES
86,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-JASZ-NAGYKUN-SZOLNOK
87,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HEVES|ORSZEM-ZALA
88,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
89,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
9,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-GYOR-MOSON-SOPRON
90,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
92,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
94,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
95,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
98,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
