ksh_code,line_code,area_code
13170,146,ORSZEM-JASZ-NAGYKUN-SZOLNOK
13259,40,ORSZEM-FEJER
13295,78,ORSZEM-PEST
13310,40,ORSZEM-BARANYA
13408,152,ORSZEM-BACS-KISKUN
13426,20,ORSZEM-VAS
13435,120a,ORSZEM-PEST
13462,40,ORSZEM-FEJER
13480,71,ORSZEM-PEST
13532,21,ORSZEM-VAS
13532,22,ORSZEM-VAS
13550,100c,ORSZEM-SZABOLCS-SZATMAR-BEREG
13596,371,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
13657,75,ORSZEM-NOGRAD
13657,78,ORSZEM-NOGRAD
13781,41,ORSZEM-SOMOGY
13815,130,ORSZEM-JASZ-NAGYKUN-SZOLNOK
13824,35,ORSZEM-SOMOGY
13833,88,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
13921,23,ORSZEM-ZALA
13930,41,ORSZEM-SOMOGY
13949,80,ORSZEM-PEST
13985,35,ORSZEM-SOMOGY
13994,41,ORSZEM-SOMOGY
14012,60,ORSZEM-SOMOGY
14021,18,ORSZEM-VAS
14030,50,ORSZEM-TOLNA
14058,150,ORSZEM-BACS-KISKUN
14058,152,ORSZEM-BACS-KISKUN
14094,146,ORSZEM-BACS-KISKUN
14146,120a,ORSZEM-PEST
14155,268,ORSZEM-KOMAROM-ESZTERGOM
14155,4,ORSZEM-KOMAROM-ESZTERGOM
14252,121,ORSZEM-CSONGRAD-CSANAD
14313,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
14340,2,ORSZEM-PEST
14401,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
14456,130,ORSZEM-CSONGRAD-CSANAD
14456,147,ORSZEM-CSONGRAD-CSANAD
14474,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
14492,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
14526,102,ORSZEM-HEVES
14562,30,ORSZEM-SOMOGY
14571,120a,ORSZEM-PEST
14580,80,ORSZEM-HEVES
14614,100,ORSZEM-HAJDU-BIHAR
14623,60,ORSZEM-SOMOGY
14632,30,ORSZEM-SOMOGY
14632,36,ORSZEM-SOMOGY
14650,65,ORSZEM-BARANYA
14687,8,ORSZEM-GYOR-MOSON-SOPRON
14739,100c,ORSZEM-SZABOLCS-SZATMAR-BEREG
14827,20,ORSZEM-FEJER
14827,30,ORSZEM-FEJER
14827,44,ORSZEM-FEJER
14827,6,ORSZEM-FEJER
14836,120a,ORSZEM-JASZ-NAGYKUN-SZOLNOK
14845,110,ORSZEM-SZABOLCS-SZATMAR-BEREG
14872,84,ORSZEM-HEVES
14960,70,ORSZEM-PEST
14979,30,ORSZEM-ZALA
15033,8,ORSZEM-GYOR-MOSON-SOPRON
15097,23,ORSZEM-ZALA
15130,100,ORSZEM-HAJDU-BIHAR
15130,105,ORSZEM-HAJDU-BIHAR
15130,106,ORSZEM-HAJDU-BIHAR
15130,108,ORSZEM-HAJDU-BIHAR
15200,120,ORSZEM-BEKES
15200,135,ORSZEM-BEKES
15246,82,ORSZEM-JASZ-NAGYKUN-SZOLNOK
15255,4,ORSZEM-KOMAROM-ESZTERGOM
15291,120a,ORSZEM-JASZ-NAGYKUN-SZOLNOK
15291,82,ORSZEM-JASZ-NAGYKUN-SZOLNOK
15307,84,ORSZEM-HEVES
15334,16,ORSZEM-VAS
15343,8,ORSZEM-GYOR-MOSON-SOPRON
15343,9,ORSZEM-GYOR-MOSON-SOPRON
15352,4,ORSZEM-KOMAROM-ESZTERGOM
15361,20,ORSZEM-VESZPREM
15361,27,ORSZEM-VESZPREM
15422,8,ORSZEM-GYOR-MOSON-SOPRON
15431,140,ORSZEM-BACS-KISKUN
15459,40,ORSZEM-TOLNA
15501,16,ORSZEM-GYOR-MOSON-SOPRON
15565,29,ORSZEM-VESZPREM
15653,10,ORSZEM-GYOR-MOSON-SOPRON
15671,16,ORSZEM-VAS
15714,8,ORSZEM-GYOR-MOSON-SOPRON
15732,41,ORSZEM-SOMOGY
15741,108,ORSZEM-HAJDU-BIHAR
15796,80,ORSZEM-HEVES
15866,40,ORSZEM-BARANYA
15866,60,ORSZEM-BARANYA
15936,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
16018,154,ORSZEM-BACS-KISKUN
16054,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
16072,27,ORSZEM-VESZPREM
16072,29,ORSZEM-VESZPREM
16106,37,ORSZEM-SOMOGY
16142,10,ORSZEM-VESZPREM
16160,102,ORSZEM-HEVES
16188,77,ORSZEM-PEST
16188,80,ORSZEM-PEST
16197,125,ORSZEM-CSONGRAD-CSANAD
16203,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
16203,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
16434,125,ORSZEM-BEKES
16470,37,ORSZEM-SOMOGY
16753,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
16799,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
16832,18,ORSZEM-VAS
16878,78,ORSZEM-NOGRAD
16957,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
17002,26,ORSZEM-ZALA
17020,25,ORSZEM-VAS
17127,41,ORSZEM-SOMOGY
17145,102,ORSZEM-JASZ-NAGYKUN-SZOLNOK
17154,29,ORSZEM-VESZPREM
17172,25,ORSZEM-VESZPREM
17206,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
17206,100c,ORSZEM-SZABOLCS-SZATMAR-BEREG
17303,120a,ORSZEM-PEST
17312,40,ORSZEM-PEST
17312,40E,ORSZEM-PEST
17330,13,ORSZEM-KOMAROM-ESZTERGOM
17330,5,ORSZEM-KOMAROM-ESZTERGOM
17419,62,ORSZEM-BARANYA
17525,29,ORSZEM-FEJER
17534,85,ORSZEM-HEVES
17543,23,ORSZEM-ZALA
17552,42,ORSZEM-FEJER
17631,30,ORSZEM-SOMOGY
17631,35,ORSZEM-SOMOGY
17668,71,ORSZEM-PEST
17677,142,ORSZEM-BACS-KISKUN
17686,152,ORSZEM-BACS-KISKUN
17756,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
17826,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
17826,400,ORSZEM-SZABOLCS-SZATMAR-BEREG
17871,26,ORSZEM-VESZPREM
17905,1,ORSZEM-GYOR-MOSON-SOPRON
17923,149,ORSZEM-BACS-KISKUN
17932,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
17941,38,ORSZEM-SOMOGY
17978,86,ORSZEM-JASZ-NAGYKUN-SZOLNOK
17987,87,ORSZEM-HEVES
18096,30,ORSZEM-ZALA
18102,125,ORSZEM-BEKES
18157,1,ORSZEM-KOMAROM-ESZTERGOM
18193,26,ORSZEM-VESZPREM
18209,82,ORSZEM-JASZ-NAGYKUN-SZOLNOK
18218,150,ORSZEM-BACS-KISKUN
18227,41,ORSZEM-SOMOGY
18236,60,ORSZEM-BARANYA
18245,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
18254,5,ORSZEM-FEJER
18263,40,ORSZEM-TOLNA
18281,102,ORSZEM-HEVES
18306,100c,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
18324,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
18324,116,ORSZEM-SZABOLCS-SZATMAR-BEREG
18342,71,ORSZEM-PEST
18388,46,ORSZEM-TOLNA
18421,26,ORSZEM-ZALA
18485,5,ORSZEM-FEJER
18485,5b,ORSZEM-FEJER
18500,37,ORSZEM-SOMOGY
18546,37,ORSZEM-SOMOGY
18546,38,ORSZEM-SOMOGY
18546,41,ORSZEM-SOMOGY
18616,70,ORSZEM-PEST
18616,70AX,ORSZEM-PEST
18643,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
18786,78,ORSZEM-NOGRAD
18801,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
18874,110,ORSZEM-SZABOLCS-SZATMAR-BEREG
18962,40,ORSZEM-TOLNA
19044,81,ORSZEM-NOGRAD
19187,30,ORSZEM-ZALA
19202,40,ORSZEM-TOLNA
19239,1,ORSZEM-GYOR-MOSON-SOPRON
19257,128,ORSZEM-BEKES
19275,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
19284,50,ORSZEM-TOLNA
19415,40,ORSZEM-BARANYA
19415,64,ORSZEM-BARANYA
19415,65,ORSZEM-BARANYA
19433,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
19442,36,ORSZEM-SOMOGY
19503,80,ORSZEM-PEST
19549,1,ORSZEM-FEJER
19585,40,ORSZEM-TOLNA
19628,120,ORSZEM-BEKES
19673,15,ORSZEM-GYOR-MOSON-SOPRON
19716,140,ORSZEM-PEST
19770,36,ORSZEM-SOMOGY
19789,153,ORSZEM-BACS-KISKUN
19813,120,ORSZEM-JASZ-NAGYKUN-SZOLNOK
19886,71,ORSZEM-PEST
19901,62,ORSZEM-BARANYA
19947,151,ORSZEM-BACS-KISKUN
19956,101,ORSZEM-HAJDU-BIHAR
19965,84,ORSZEM-HEVES
19974,147,ORSZEM-CSONGRAD-CSANAD
19983,150,ORSZEM-BACS-KISKUN
19992,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
20066,140,ORSZEM-PEST
20075,84,ORSZEM-NOGRAD
20127,1,ORSZEM-KOMAROM-ESZTERGOM
20172,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
20172,400,ORSZEM-SZABOLCS-SZATMAR-BEREG
20206,44,ORSZEM-FEJER
20297,140,ORSZEM-BACS-KISKUN
20297,146,ORSZEM-BACS-KISKUN
20297,147,ORSZEM-BACS-KISKUN
20297,155,ORSZEM-BACS-KISKUN
20303,116,ORSZEM-SZABOLCS-SZATMAR-BEREG
20358,42,ORSZEM-FEJER
20400,10,ORSZEM-GYOR-MOSON-SOPRON
20428,146,ORSZEM-JASZ-NAGYKUN-SZOLNOK
20473,35,ORSZEM-SOMOGY
20473,36,ORSZEM-SOMOGY
20473,41,ORSZEM-SOMOGY
20491,87,ORSZEM-HEVES
20507,40,ORSZEM-TOLNA
20534,150,ORSZEM-PEST
20604,8,ORSZEM-GYOR-MOSON-SOPRON
20640,100,ORSZEM-PEST
20659,65,ORSZEM-BARANYA
20701,50,ORSZEM-TOLNA
20729,30,ORSZEM-SOMOGY
20747,84,ORSZEM-HEVES
20783,40,ORSZEM-TOLNA
20914,125,ORSZEM-CSONGRAD-CSANAD
20996,25,ORSZEM-VAS
21050,25,ORSZEM-ZALA
21069,151,ORSZEM-BACS-KISKUN
21096,65,ORSZEM-BARANYA
21111,86,ORSZEM-JASZ-NAGYKUN-SZOLNOK
21148,151,ORSZEM-BACS-KISKUN
21175,29,ORSZEM-VESZPREM
21209,120,ORSZEM-BEKES
21306,20,ORSZEM-VAS
21315,41,ORSZEM-SOMOGY
21324,30,ORSZEM-SOMOGY
21351,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
21388,78,ORSZEM-PEST
21449,41,ORSZEM-SOMOGY
21485,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
21494,146,ORSZEM-JASZ-NAGYKUN-SZOLNOK
21555,130,ORSZEM-CSONGRAD-CSANAD
21713,120a,ORSZEM-PEST
21740,100c,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
21874,2,ORSZEM-KOMAROM-ESZTERGOM
21883,128,ORSZEM-BEKES
21908,5,ORSZEM-FEJER
21926,30,ORSZEM-FEJER
21953,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
21999,152,ORSZEM-BACS-KISKUN
22105,86,ORSZEM-JASZ-NAGYKUN-SZOLNOK
22196,108,ORSZEM-HEVES
22202,86,ORSZEM-JASZ-NAGYKUN-SZOLNOK
22220,14,ORSZEM-VESZPREM
22284,116,ORSZEM-SZABOLCS-SZATMAR-BEREG
22309,262e,ORSZEM-HEVES
22309,80,ORSZEM-HEVES
22309,81,ORSZEM-HEVES
22327,29,ORSZEM-VESZPREM
22406,109,ORSZEM-HAJDU-BIHAR
22415,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
22415,284,ORSZEM-SZABOLCS-SZATMAR-BEREG
22558,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
22567,102,ORSZEM-JASZ-NAGYKUN-SZOLNOK
22600,47,ORSZEM-BARANYA
22673,35,ORSZEM-SOMOGY
22691,11,ORSZEM-GYOR-MOSON-SOPRON
22691,13,ORSZEM-GYOR-MOSON-SOPRON
22761,46,ORSZEM-TOLNA
22789,103,ORSZEM-JASZ-NAGYKUN-SZOLNOK
22798,86,ORSZEM-JASZ-NAGYKUN-SZOLNOK
22822,30,ORSZEM-SOMOGY
22831,8,ORSZEM-GYOR-MOSON-SOPRON
23010,25,ORSZEM-VESZPREM
23010,26,ORSZEM-VESZPREM
23056,145,ORSZEM-BACS-KISKUN
23065,125,ORSZEM-BEKES
23065,135,ORSZEM-BEKES
23065,147,ORSZEM-BEKES
23092,35,ORSZEM-SOMOGY
23108,25,ORSZEM-VAS
23162,40,ORSZEM-BARANYA
23171,103,ORSZEM-JASZ-NAGYKUN-SZOLNOK
23214,100,ORSZEM-HAJDU-BIHAR
23241,80,ORSZEM-HEVES
23269,110,ORSZEM-SZABOLCS-SZATMAR-BEREG
23278,1,ORSZEM-PEST
23296,41,ORSZEM-TOLNA
23302,26,ORSZEM-ZALA
23339,82,ORSZEM-JASZ-NAGYKUN-SZOLNOK
23524,117,ORSZEM-SZABOLCS-SZATMAR-BEREG
23560,10,ORSZEM-VESZPREM
23603,40E,ORSZEM-FEJER
23630,35,ORSZEM-SOMOGY
23649,70,ORSZEM-PEST
23658,20,ORSZEM-VESZPREM
