ksh_code,reason
04039,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04048,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04057,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04066,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04075,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04084,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04093,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04109,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04118,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04127,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04136,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04145,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04154,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04163,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04172,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04181,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04190,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04206,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04215,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04224,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04233,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04242,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04251,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04260,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04279,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04288,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04297,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04303,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04312,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04321,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04330,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04349,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04358,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04367,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04376,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04385,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04394,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04400,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04419,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04428,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04437,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04446,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04455,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04464,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04473,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04482,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04491,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04507,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04516,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04525,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04534,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04543,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04552,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04561,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04570,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04589,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04598,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04604,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04613,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04622,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04631,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04640,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04659,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04668,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04677,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04686,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04695,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04701,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04710,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04729,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04738,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04747,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04756,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04765,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04774,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04783,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04792,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04808,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04817,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04826,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04835,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04844,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04853,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04862,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04871,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04880,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04899,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04905,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04914,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04923,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04932,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04950,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04969,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04978,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04987,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04996,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05005,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05014,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05023,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05032,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05041,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05050,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05069,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05078,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05087,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05096,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05102,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05111,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05120,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05139,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05148,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05157,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05166,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05175,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05184,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05193,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05209,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05218,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05227,NO_VERIFIED_RAILWAY_LINE_REFERENCE
