ksh_code,settlement_name,county_name,area_code,basis
03328,Ipolytarnóc,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
03337,Ivánbattyán,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03346,Ivándárda,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03355,Nova,Zala,ORSZEM-ZALA,KSH_COUNTY
03364,Szilsárkány,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
03373,Tiszapüspöki,Jász-Nagykun-Szolnok,ORSZEM-JASZ-NAGYKUN-SZOLNOK,KSH_COUNTY
03382,Szarvaskő,Heves,ORSZEM-HEVES,KSH_COUNTY
03391,Piricse,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
03407,Budajenő,Pest,ORSZEM-PEST,KSH_COUNTY
03416,Somogyszil,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
03425,Bogyiszló,Tolna,ORSZEM-TOLNA,KSH_COUNTY
03434,Lasztonya,Zala,ORSZEM-ZALA,KSH_COUNTY
03443,Mezőzombor,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03452,Boldog,Heves,ORSZEM-HEVES,KSH_COUNTY
03461,Kétegyháza,Békés,ORSZEM-BEKES,KSH_COUNTY
03470,Meződ,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03489,Edde,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
03498,Vereb,Fejér,ORSZEM-FEJER,KSH_COUNTY
03504,Sajóbábony,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03513,Visznek,Heves,ORSZEM-HEVES,KSH_COUNTY
03522,Baja,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
03531,Léh,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03540,Kökény,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03559,Balatonvilágos,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
03568,Szentantalfa,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03577,Géderlak,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
03586,Szabolcsveresmart,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
